cas,inchi,inchikey,smiles,formula,definition,checked,alw_cname,che_cname,che_id,chl_id,chs_id,drb_id,eea_cname,ein_id,etx_cname,etx_id,ipc_name,puc_cid,wid_cname,wid_id,zvg_id,uii_id
85721-33-1,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",MYSWGUAQZAJSOK-UHFFFAOYSA-N,OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,C17H18FN3O3,"A  quinolone that is quinolin-4(1H)-one bearing cyclopropyl, carboxylic acid, fluoro and piperazin-1-yl substituents at positions 1, 3, 6 and 7, respectively.",,"",ciprofloxacin,CHEBI:100241,"",2662,,Ciprofloxacin,"",Ciprofloxacin,98794,"1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid",2764,Ciprofloxacin,Q68125927,,""
135-19-3,"InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H",JWAZRIHNYRIHIV-UHFFFAOYSA-N,Oc1ccc2ccccc2c1,C10H8O,A naphthol carrying a hydroxy group at position 2.,,"",2-naphthol,CHEBI:10432,CHEMBL14126,8341,,2-naphthol,205-182-7,2-Naphthol,8522,naphthalen-2-ol,8663,2-naphthol,Q949232,11530,P2Z71CIK5H
330-54-1,"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)",XMTQQYYKAHVGBJ-UHFFFAOYSA-N,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,C9H10Cl2N2O,"A member of the class of phenylureas that is urea in which both of the hydrogens attached to one nitrogen are substituted by methyl groups, and one of the hydrogens attached to the other nitrogen is substituted by a 3,4-dichlorophenyl group.",,diuron,diuron,CHEBI:116509,CHEMBL278489,3008,,Diuron,206-354-4,Diuron,7390,"3-(3,4-dichlorophenyl)-1,1-dimethylurea",3120,diuron,Q425389,12290,9I3SDS92WY
4901-51-3,"InChI=1S/C6H2Cl4O/c7-2-1-3(11)5(9)6(10)4(2)8/h1,11H",RULKYXXCCZZKDZ-UHFFFAOYSA-N,C1(O)=C(C(=C(C(=C1)Cl)Cl)Cl)Cl,C6H2Cl4O,"A tetrachlorophenol in which the chlorines are located at positions 2, 3, 4, and 5.",,"","2,3,4,5-tetrachlorophenol",CHEBI:132357,CHEMBL1528479,19766,,"2,3,4,5-tetrachlorophenol",225-531-7,"2,3,4,5-Tetrachlorphenol",8638,"2,3,4,5-tetrachlorophenol",21013,"2,3,4,5-tetrachlorophenol",Q26840906,117502,D2UW5NHW9J
58-90-2,"InChI=1S/C6H2Cl4O/c7-2-1-3(8)6(11)5(10)4(2)9/h1,11H",VGVRPFIJEJYOFN-UHFFFAOYSA-N,C1(O)=C(C(=C(C=C1Cl)Cl)Cl)Cl,C6H2Cl4O,"A tetrachlorophenol in which the chlorines are located at positions 2, 3, 4, and 6.",,"","2,3,4,6-tetrachlorophenol",CHEBI:132359,CHEMBL320361,5806,,"2,3,4,6-tetrachlorophenol",200-402-8,"2,3,4,6-Tetrachlorphenol",134,"2,3,4,6-tetrachlorophenol",6028,"2,3,4,6-tetrachlorophenol",Q22051085,510368,2442S914FX
1861-40-1,"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",SMDHCQAYESWHAE-UHFFFAOYSA-N,C=1(C(=C(C=C(C1)C(F)(F)F)[N+](=O)[O-])N(CCCC)CC)[N+]([O-])=O,C13H16F3N3O4,"A tertiany amino compound that is 2,6-dinitro-4-(trifluoromethyl)aniline in which the hydrogens attached to the aniline nitrogen have been replaced by one ethyl and one butyl group. It is used as a pre-emergence herbicide used for the control of grass and other weeds in a range of food and non-food crops.",,benfluralin,benfluralin,CHEBI:132878,CHEMBL1256668,2229,,Benfluralin,217-465-2,"",,"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",2319,benfluralin,Q421520,490343,28224BUY6R
3194-55-6,"InChI=1S/C12H18Br6/c13-7-1-2-8(14)10(16)5-6-12(18)11(17)4-3-9(7)15/h7-12H,1-6H2",DEIGXXQKDWULML-UHFFFAOYSA-N,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,C12H18Br6,"A bromoalkane consisting of cyclododecane bearing six bromo substituents at positions 1, 2, 5, 6, 9 and 10.",,"","1,2,5,6,9,10-hexabromocyclododecane",CHEBI:134063,"",17499,,"1,2,5,6,9,10-hexabromocyclododecane","","1,2,5,6,9,10-Hexabromcyclododecan",98067,"1,2,5,6,9,10-hexabromocyclododecane",18529,"","",,""
5466-77-3,"InChI=1S/C18H26O3/c1-4-6-7-15(5-2)14-21-18(19)13-10-16-8-11-17(20-3)12-9-16/h8-13,15H,4-7,14H2,1-3H3",YBGZDTIWKVFICR-UHFFFAOYSA-N,C=1C=C(C=CC1C=CC(OCC(CCCC)CC)=O)OC,C18H26O3,"",,"",octinoxate,CHEBI:134750,"",20329,,2-Ethylhexyl 4-methoxycinnamate,226-775-7,2-Ethylhexyl-4-methoxycinnamat,30718,"",5355130,2-ethylhexyl 4-methoxycinnamate,Q60311884,,""
32598-13-3,InChI=1S/C12H6Cl4/c13-9-3-1-7(5-11(9)15)8-2-4-10(14)12(16)6-8/h1-6H,UQMGJOKDKOLIDP-UHFFFAOYSA-N,Clc1ccc(cc1Cl)-c1ccc(Cl)c(Cl)c1,C12H6Cl4,A tetrachlorobiphenyl that is biphenyl in which the hydrogens at position 3 and 4 on each phenyl group are replaced by chlorines.,,"","3,3',4,4'-tetrachlorobiphenyl",CHEBI:1367,"",,,"PCB 77 (3,3’,4,4’-tetrachlorobiphenyl)","","",,"3,3',4,4'-tetrachloro-1,1'-biphenyl",,"","",,""
74070-46-5,"InChI=1S/C12H9ClN2O3/c13-11-10(18-8-4-2-1-3-5-8)7-6-9(12(11)14)15(16)17/h1-7H,14H2",DDBMQDADIHOWIC-UHFFFAOYSA-N,C=1(C(=CC=C(C1Cl)OC=2C=CC=CC2)[N+](=O)[O-])N,C12H9ClN2O3,"A primary amino compound that is aniline in which the phenyl group has been substituted at positions 2, 3, and 6 by chlorine, phenoxy, and nitro groups, respectively. A protoporphyrinogen oxidase (PPO) inhibitor, it is used as a herbicide against a broad range of weeds in a wide range of crops.",,aclonifen,aclonifen,CHEBI:137374,CHEMBL1485557,83411,,Aclonifen,277-704-1,2-Chlor-6-nitro-3-phenoxybenzolamin,13131,2-chloro-6-nitro-3-phenoxyaniline,92389,aclonifen,Q341945,162073,1762RDA835
