cas,inchi,inchikey,smiles,formula,definition,checked,alw_cname,che_cname,che_id,chl_id,chs_id,drb_id,eea_cname,ein_id,etx_cname,etx_id,ipc_name,puc_cid,wid_cname,wid_id,zvg_id,uii_id
1809-21-8,"","","","","",,"","","","",191184,,"","","",,"",220450,"","",,""
180995-12-4,"","","","","",,"","","","",13605436,,"","","",,"",21997828,"","",,""
1811-28-5,"","","","","",,"","","","",14968,,"","","",,"",9849425,"","",,""
18110-86-6,"","","","","",,"",Nigakinone,CHEBI:81365,"",10270540,,"","","",,"",5320161,"","",,""
18113-54-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1812-30-2,"","","","","",,"",Bromazepam,CHEBI:31302,"",2347,,"","","",,"",2441,"","",,""
1812-53-9,"","","","","",,"","","","",14970,,"","","",,"",15743,"","",,""
18125-49-0,"","","","","",,"",3-hydroxymethylantipyrine,CHEBI:145210,"",110485,,"","","",,"",123963,"","",,""
181274-15-7,"","","","","",,propoxycarbazone-sodium,"","","",,,"","","",,"",,"","",,""
181274-17-9,"","","","","",,flucarbazone-sodium,flucarbazone-sodium,CHEBI:82010,"",,,"","","",,"",,"","",,""
181312-01-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
181314-88-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
181314-95-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
181314-96-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
181483-62-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18151-09-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
181587-01-9,"","","","","",,ethiprole,Ethiprole,CHEBI:81827,"",8106298,,"","","",,"",9930667,"","",,""
18164-50-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1817-47-6,"","","","","",,"","","","",14976,,"","","",,"",15749,"","",,""
1817-73-8,"","","","","",,"","","","",14979,,"","","",,"",15752,"","",,""
18172-33-3,"","","","","",,"","(6aR,11aS,11bR)-10-acetyl-11-hydroxy-7,7-dimethyl-2,6,6a,7,11a,11b-hexahydro-9H-pyrrolo[1',2':2,3]isoindolo[4,5,6-cd]indol-9-one",CHEBI:22450,"",,,"","","",,"",,"","",,""
18172-67-3,"","","","","",,"",(-)-beta-pinene,CHEBI:28359,"",389794,,"","","",,"",440967,"","",,""
18181-80-1,"","","","","",,bromopropylate,"","","",26916,,"","","",,"",28936,"","",,""
1820-81-1,"","","","","",,"",5-chlorouracil,CHEBI:60762,"",14985,,"","","",,"",15758,5-chlorouracil,Q238482,,""
1820673-23-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1821-12-1,"","","","","",,"",4-phenylbutyric acid,CHEBI:41500,"",4611,,"","","",,"",4775,"","",,""
1821-36-9,"","","","","",,"","","","",67145,,"","","",,"",74567,"","",,""
1821-66-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
182135-66-6,"","","","","",,"","","","",392833,,"","","",,"",445091,"","",,""
182251-27-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1823142-16-0,"","","","","",,"","","","",,,"","","",,"",,competitor,Q27019785,,""
1824-09-5,"","","","","",,mesoprazine,"","","",2297397,,"","","",,"",,"","",,""
18240-68-1,"","","","","",,"","","","",2006725,,"","","",,"",2724598,"2,2-dichloropentanoic Acid",Q82156220,,""
1825-19-0,"","","","","",,"","","","",14992,,"","","",,"",,"","",,""
1825-31-6,"","","","","",,"","","","",14995,,"","","",,"",15769,"1,4-dichloronaphthalene",Q27271403,,""
18251-82-6,"","","","","",,"","","","",453175,,"","","",,"",519535,"","",,""
18259-05-7,"","","","","",,"","2,3,4,5,6-pentachlorobiphenyl",CHEBI:34219,"",16415,,"","","",,"",17348,"","",,""
18262-71-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18263-25-7,"","","","","",,"",2-bromohexadecanoic acid,CHEBI:133152,"",74138,,"","","",,"",82145,"","",,""
182636-17-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
182636-18-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
182636-19-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
182636-31-3,"","","","","",,"","","","",,,"","","",,"",,Uptake,Q25210869,,""
18268-69-4,"","","","","",,"","","","",26975,,"","","",,"",28998,"","",,""
18268-76-3,"","","","","",,"","","","",26977,,"","","",,"",29000,"","",,""
18268-80-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18272-48-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18276-12-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
182761-01-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
182761-39-3,"","","","","",,"","","","",,,"","","",,"",,Optima,Q1847244,,""
182761-54-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
182761-86-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18277-86-6,"","","","","",,"","","","",453180,,"","","",,"",519540,"","",,""
18282-10-5,"","","","","",,"",tin dioxide,CHEBI:52991,"",,,"","","",,"",29011,"","",,""
18290-84-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18292-97-2,"","","","","",,"","","","",26998,,"","","",,"",29021,"2,3,6-trinitrotoluene",Q27291740,,""
18299-54-2,"","","","","",,"","","","",,,"","","",,"",27300,"","",,""
183023-65-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18305-12-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18309-32-5,"","","","","",,"","4,6,6-trimethylbicyclo[3.1.1]hept-3-en-2-one",CHEBI:78315,"",,,"","","",,"",,"","",,""
183182-96-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
183185-49-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18323-44-9,"","","","","",,"",clindamycin,CHEBI:3745,"",,,"","","",,"",,"","",,""
18328-59-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
183290-63-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18335-58-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1835-49-0,"","","","","",,"","","","",15008,,"","","",,"",15783,Tetrafluoroterephthalonitrile,Q72505256,,""
1835-65-0,"","","","","",,"","","","",67177,,"","","",,"",74600,"","",,""
183552-38-7,"","","","","",,"",abarelix,CHEBI:337298,"",,,"","","",,"",,"","",,""
1836-77-7,"","","","","",,chlornitrofen,chlornitrofen,CHEBI:3620,"",15011,,"","","",,"",15788,"","",,""
183658-27-7,"","","","","",,"","","","",28419925,,"","","",,"",71316600,"","",,""
183675-82-3,"","","","","",,penthiopyrad,penthiopyrad,CHEBI:81777,"",9563463,,"","","",,"",11388558,"","",,""
18368-63-3,"","","","","",,"","","","",79028,,"","","",,"",87601,6-chloro-2-picoline,Q27256919,,""
18368-96-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1837-57-6,"","","","","",,"",Acrinol,CHEBI:31172,"",,,"","","",,"",,"","",,""
1837-91-8,"","","","","",,"","1,2,3,4,5,6-hexabromocyclohexane",CHEBI:93940,"",67180,,"","","",,"",74603,"1,2,3,4,5,6-hexabromocyclohexane",Q27165694,,""
1838-59-1,"","","","","",,"","","","",55217,,"","","",,"",61278,"","",,""
1838-73-9,"","","","","",,"","","","",92765,,"","","",,"",102700,"","",,""
1838-94-4,"","","","","",,"","","","",83210,,"","","",,"",92166,"","",,""
18390-00-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
183970-27-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
184008-01-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
184008-02-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18402-10-3,"","","","","",,"","","","",99116,,"","","",,"",110404,(Decyloxy)trimethylsilane,Q81977826,,""
18409-17-1,"","","","","",,"",(E)-oct-2-en-1-ol,CHEBI:142616,"",4477134,,"","","",,"",5318599,"","",,""
18420-71-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18427-02-6,"","","","","",,"","","","",2297547,,"","","",,"",3032615,4-thiouridine,Q20890501,,""
1843-05-6,"","","","","",,"",octabenzone,CHEBI:135390,"",15020,,"","","",,"",15797,"","",,""
18444-66-1,"","","","","",,"",cucurbitacin E,CHEBI:3944,"",,,"","","",,"",,"","",,""
1845-30-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18450-93-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18450-94-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1846-70-4,"","","","","",,"","","","",67186,,"","","",,"",74611,2-Nonynoic acid,Q82003173,,""
1846-74-8,"","","","","",,"","","","",15022,,"","","",,"",15799,3-Benzoylcoumarin,Q82003174,,""
18461-55-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18464-23-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18467-77-1,"","","","","",,dikegulac,Dikegulac,CHEBI:81986,"",,,"","","",,"",,"","",,""
18472-51-0,"","","","","",,"",chlorhexidine gluconate,CHEBI:28312,"",,,"","","",,"",,"","",,""
18472-87-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1849-18-9,"","","","","",,"","","","",15029,,"","","",,"",,"","",,""
1849-36-1,"","","","","",,"","","","",15030,,"","","",,"",15809,"","",,""
18494-57-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18496-25-8,"","","","","",,"",sulfide(2-),CHEBI:15138,"",27079,,"","","",,"",29109,sulfide,Q221205,,""
185019-18-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18507-89-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
185121-74-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1852-14-8,"","","","","",,"","","","",67189,,"","","",,"",74614,"","",,""
1852-53-5,"","","","","",,"","5alpha-androstane-3alpha,17beta-diol",CHEBI:36713,"",15039,,"","","",,"",15818,3α-androstanediol,Q6590364,,""
18530-56-8,"","","","","",,noruron,Noruron,CHEBI:82233,"",15696,,"","","",,"",16556,Norea,Q1998963,,""
185392-65-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
185392-69-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1854-23-5,"","","","","",,"","4,4'-(ethyl-2-nitropropane-1,3-diyl)bismorpholine",CHEBI:55483,"",,,"","","",,"",,"","",,""
185419-26-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18542-37-5,"","","","","",,"",Vernolepin,CHEBI:9963,"",,,"","","",,"",,"","",,""
185500-92-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
185517-07-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
185517-08-2,"","","","","",,"","","","",,,"","","",,"",21297077,"","",,""
18559-63-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18559-94-9,"","","","","",,"",albuterol,CHEBI:2549,"",,,"","","",,"",,"","",,""
18584-79-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
185993-05-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
186082-59-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1861-32-1,"","","","","",,chlorthal-dimethyl,Dacthal,CHEBI:34664,"",,,"","","",,"",,"","",,""
1861-44-5,"","","","","",,tritac,"","","",15049,,"","","",,"",,"","",,""
18623-11-5,"","","","","",,"","","","",79148,,"","","",,"",6335371,"","",,""
18624-44-7,"","","","","",,"","","","",8305416,,"","","",,"",10129897,ferrous hydroxide,Q804525,,""
18628-14-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
186323-08-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
186344-66-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18641-57-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
186463-99-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1865-09-4,"","","","","",,"","","","",10541629,,"","","",,"",12436923,"","",,""
1866-15-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1866-16-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1866-31-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1866-38-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1866-73-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18662-53-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
186692-46-6,"","","","","",,"",seliciclib,CHEBI:45307,"",,,"","","",,"",160355,"","",,""
1867-38-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1867-66-9,"","","","","",,"",ketamine hydrochloride,CHEBI:650657,"",,,"","","",,"",,"","",,""
1867-73-8,"","","","","",,"",N(6)-methyladenosine,CHEBI:21891,"",92307,,"","","",,"",102175,N-methyladenosine,Q6951996,,""
186825-36-5,"","","","","",,"","","","",23254588,,"","","",,"",53412055,"4-(1-ethyl-1,3-dimethylpentyl)phenol",Q27261080,,""
18684-11-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18698-97-0,"","","","","",,"","","","",79171,,"","","",,"",87754,2-Bromophenylacetic acid,Q63392746,,""
18705-22-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18708-70-8,"","","","","",,"","","","",27183,,"","","",,"",29228,"","",,""
1871-57-4,"","","","","",,"","","","",15073,,"","","",,"",15859,3-chloro-2-chloromethyl-1-propene,Q27253119,,""
1871-67-6,"","","","","",,"",(2E)-oct-2-enoic acid,CHEBI:86544,"",4445841,,"","","",,"",5282714,(2E)-2-octenoic acid,Q27159230,,""
187140-92-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
187166-15-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
187166-40-1,"","","","","",,"",Spinetoram,CHEBI:82041,"",,,"","","",,"",,"","",,""
187247-15-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1874-12-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1874-54-0,"","","","","",,"",psicofuranin,CHEBI:8612,"",58596,,"","","",,"",65086,"","",,""
1875-92-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1877-75-4,"","","","","",,"","","","",67224,,"","","",,"",74649,4-methoxyphenoxyacetic acid,Q69756791,,""
18777-53-2,"","","","","",,"","","","",,,"","","",,"",16649,"","",,""
1878-49-5,"","","","","",,"","","","",67226,,"","","",,"",,"","",,""
1878-65-5,"","","","","",,"","","","",15092,,"","","",,"",15879,"","",,""
1878-66-6,"","","","","",,"",4-chlorophenylacetic acid,CHEBI:30749,"",15093,,"","","",,"",15880,4-chlorophenylacetic acid,Q27104143,,""
1878-67-7,"","","","","",,"","","","",67228,,"","","",,"",74653,3-Bromophenylacetic acid,Q63409368,,""
1878-68-8,"","","","","",,"",4-Bromophenyl acetate,CHEBI:1790,"",67229,,"","","",,"",74654,4-Bromophenyl acetate,Q27105508,,""
1878-85-9,"","","","","",,"","","","",15095,,"","","",,"",15882,(2-methoxyphenoxy)acetic acid,Q27268994,,""
1878-87-1,"","","","","",,"",(2-nitrophenoxy)acetic acid,CHEBI:66923,"",15096,,"","","",,"",15883,"","",,""
1878-91-7,"","","","","",,"","","","",67232,,"","","",,"",74657,"","",,""
187888-07-9,"","","","","",,"","","","",163314,,"","","",,"",187888,Endostatin,Q359012,,""
1879-56-7,"","","","","",,"","","","",,,"","","",,"",592201,"","",,""
18794-84-8,"","","","","",,"",trans-beta-farnesene,CHEBI:10418,"",9978,,"","","",,"",5281517,(6E)-β-farnesene,Q27108631,,""
187949-02-6,"","","","","",,"","","","",29786856,,"","","",,"",,"","",,""
18795-58-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
188023-86-1,"","","","","",,"","","","",,,"","","",,"",,Phenothrin,Q72500937,,""
18810-04-3,"","","","","",,"","","","",382126,,"","","",,"",432092,"","",,""
18836-52-7,"","","","","",,"",pellitorine,CHEBI:69686,"",4477066,,"","","",,"",5318516,"","",,""
188489-07-8,"","","","","",,flufenpyr-ethyl,flufenpyr-ethyl,CHEBI:132056,"",,,"","","",,"",,"","",,""
1885-95-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18854-01-8,"","","","","",,isoxathion,isoxathion,CHEBI:34801,"",,,"","","",,"",,"","",,""
188589-32-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1886-81-3,"","","","","",,"","","","",15111,,"","","",,"",15900,"","",,""
188658-31-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18868-43-4,"","","","","",,"","","","",27268,,"","","",,"",29320,molybdenum(IV) oxide,Q415673,,""
1887-02-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18877-89-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1888-71-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18881-04-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
188817-13-2,"","","","","",,"",SC560,CHEBI:76274,"",3512137,,"","","",,"",4306515,"","",,""
18883-66-4,"","","","","",,"",streptozocin,CHEBI:9288,"",2015137,,"","","",,"",29327,"","",,""
1889-72-1,"","","","","",,"","","","",,,"","","",,"",347997,"","",,""
189064-01-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
189084-61-5,"","","","","",,"","2,4-dibromophenyl 3,4-dibromophenyl ether",CHEBI:138038,"",10239069,,"","","",,"",15509893,"","",,""
189084-68-2,"","","","","",,"","","","",10239075,,"","","",,"",12110099,"","",,""
1891-10-7,"","","","","",,"","","","",599704,,"","","",,"",,"","",,""
1891-95-8,"","","","","",,chloroxynil,"","","",67258,,"","","",,"",74685,"","",,""
18912-71-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18917-91-4,"","","","","",,"",tris(lactato)aluminium,CHEBI:31196,"",,,"","","",,"",,"","",,""
1892-31-5,"","","","","",,"","","","",67263,,"","","",,"",74690,Propanethioic acid,Q82003180,,""
1892-43-9,"","","","","",,"",2-(4-chlorphenoxy)-ethanol,CHEBI:135944,"",15118,,"","","",,"",15907,2-(4-chlorophenoxy)ethanol,Q5103142,,""
189278-12-4,"","","","","",,proquinazid,proquinazid,CHEBI:83555,"",9232930,,"","","",,"",11057771,proquinazid,Q5156108,,""
189388-22-5,"","","","","",,"","","","",4470614,,"","","",,"",,"","",,""
18939-61-2,"","","","","",,"","","","",22870,,"","","",,"",24462,"","",,""
1895-97-2,"","","","","",,"","","","",553403,,"","","",,"",,"","",,""
189517-75-7,"","","","","",,shuangjiaancaolin,"","","",,,"","","",,"",,"","",,""
18964-53-9,"","","","","",,"","2,4,6-Triphenyl-1-hexene",CHEBI:34236,"",,,"","","",,"",,"","",,""
1897-41-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18973-62-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18979-55-0,"","","","","",,"",4-Hexyloxyphenol,CHEBI:34407,"",27298,,"","","",,"",29354,"","",,""
1898-66-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18984-16-2,"","","","","",,"","","","",4522570,,"","","",,"",236290,"","",,""
18984-32-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18987-38-7,"","","","","",,"","","","",2298791,,"","","",,"",3034306,"","",,""
18989-82-7,"","","","","",,"","","","",,,"","","",,"",1551008,"","",,""
1899-36-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
18996-35-5,"","","","","",,"","","","",27304,,"","","",,"",,"","",,""
18999-58-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19010-66-3,"","","","","",,"","","","",27318,,"","","",,"",519623,lead dimethyldithiocarbamate,Q27292124,,""
19014-05-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1904-98-9,"","","","","",,"","9H-purine-2,6-diamine",CHEBI:40235,"",28738,,"","","",,"",30976,"2,6-diaminopurine",Q4596802,,""
19044-06-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19044-88-3,"","","","","",,oryzalin,oryzalin,CHEBI:73163,"",27326,,"","","",,"",29393,"","",,""
19048-85-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19059-14-4,"","","","","",,"",peroxynitrite,CHEBI:25941,"",94607,,"","","",,"",,"","",,""
190604-92-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1907-13-7,"","","","","",,"","","","",4885878,,"","","",,"",16682966,"","",,""
190713-39-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19078-35-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19086-18-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19094-75-8,"","","","","",,"","","","",79329,,"","","",,"",87930,"","",,""
19095-88-6,"","","","","",,mecoprop-sodium,"","","",,,"","","",,"",,"","",,""
191-07-1,"","","","","",,"",coronene,CHEBI:29863,"",8761,,"","","",,"",9115,Coronene,Q70941066,,""
1910-42-5,"","","","","",,paraquat dichloride,paraquat dichloride,CHEBI:28786,"",,,"","","",,"",,"","",,""
19114-55-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
191166-39-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
191166-47-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1912-25-0,"","","","","",,ipazine,Ipazine,CHEBI:82225,"",15156,,"","","",,"",,"","",,""
1912-28-3,"","","","","",,"","","","",435978,,"","","",,"",15952,"","",,""
1914-65-4,"","","","","",,"","","","",10467297,,"","","",,"",12598146,"1,2,3,4-Tetrahydro-1-naphthoic acid",Q72506265,,""
1914-66-5,"","","","","",,"","","","",220258,,"","","",,"",251423,"2-(2,4-dichlorophenoxy)-2-methylpropanoic acid",Q82028729,,""
19142-74-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19143-87-4,"","","","","",,"",gibberellin A20,CHEBI:27742,"",,,"","","",,"",,"","",,""
19147-78-5,"","","","","",,"",gibberellin A6,CHEBI:29602,"",,,"","","",,"",,"","",,""
19147-79-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
191476-13-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1915-49-7,"","","","","",,"","","","",10385737,,"","","",,"",192750,"","",,""
191600-51-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19161-30-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1917-97-1,"","","","","",,"2,4-D-meptyl","","","",,,"","","",,"",,"","",,""
1918-02-1,"","","","","",,picloram,picloram,CHEBI:34922,"",15170,,"","","",,"",15965,"","",,""
1918-08-7,"","","","","",,dipropalin,"","","",15171,,"","","",,"",,"","",,""
1918-11-2,"","","","","",,terbucarb,Terbucarb,CHEBI:82250,"",,,"","","",,"",,"","",,""
1918-18-9,"","","","","",,swep,SWEP,CHEBI:82188,"",,,"","","",,"",,"","",,""
191865-05-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19203-00-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1921-70-6,"","","","","",,"",pristane,CHEBI:53181,"",15182,,"","","",,"",15979,"","",,""
192125-17-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19216-56-9,"","","","","",,"",prazosin,CHEBI:8364,"",,,"","","",,"",,"","",,""
19237-84-4,"","","","","",,"",prazosin hydrochloride,CHEBI:8365,"",,,"","","",,"",,"","",,""
19244-98-5,"","","","","",,"","","","",64406,,"","","",,"",71282,"","",,""
19250-03-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
192512-00-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19264-68-7,"","","","","",,"","","","",85767,,"","","",,"",95052,9-Benzoylcarbazole,Q82003183,,""
1927-25-9,"","","","","",,"",homoserine,CHEBI:30653,"",758,,"","","",,"",779,homoserine,Q27113920,,""
1927-71-5,"","","","","",,"","","","",190450,,"","","",,"",219683,"","",,""
1927-95-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1928-37-6,"","","","","",,"2,4,5-T-methyl","","","",,,"","","",,"",,"","",,""
1928-38-7,"","","","","",,"2,4-D-methyl","","","",1443,,"","","",,"",1488,"","",,""
1928-43-4,"","","","","",,"2,4-D-etexyl","","","",,,"","","",,"",,"","",,""
1928-45-6,"","","","","",,"2,4-D-terboxyl","","","",,,"","","",,"",,"","",,""
1928-47-8,"","","","","",,"2,4,5-T-etexyl","","","",,,"","","",,"",,"","",,""
1928-48-9,"","","","","",,"2,4,5-T-terboxyl","","","",,,"","","",,"",,"","",,""
1928-58-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19285-56-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
192863-28-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1929-30-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1929-73-3,"","","","","",,"2,4-D-butotyl","","","",,,"","","",,"",,"","",,""
1929-77-7,"","","","","",,vernolate,S-propyl dipropylcarbamothioate,CHEBI:82219,"",15204,,"","","",,"",16003,"","",,""
1929-82-4,"","","","","",,nitrapyrin,nitrapyrin,CHEBI:81935,"",15205,,"","","",,"",16004,"","",,""
1929-86-8,"","","","","",,mecoprop-potassium,"","","",,,"","","",,"",,"","",,""
1929-87-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1929-88-0,"","","","","",,benzthiazuron,Benzthiazuron,CHEBI:82185,"",15208,,"","","",,"",16007,"","",,""
1929-89-1,"","","","","",,"","","","",191140,,"","","",,"",220406,"","",,""
1930-72-9,"","","","","",,"","","","",15209,,"","","",,"",16008,"","",,""
193068-04-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19329-89-6,"","","","","",,"",3-methylbutyl 2-hydroxypropanoate,CHEBI:87534,"",,,"","","",,"",,"","",,""
19335-11-6,"","","","","",,"","","","",79400,,"","","",,"",88012,"","",,""
1934-21-0,"","","","","",,"",tartrazine,CHEBI:9405,"",144497,,"","","",,"",164825,Tartrazine,Q67929884,,""
1934-24-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19356-17-3,"","","","","",,"",calcidiol,CHEBI:17933,"",,,"","","",,"",,"","",,""
1936-15-8,"","","","","",,"",orange G,CHEBI:82427,"",,,"","","",,"",,"","",,""
19360-02-2,"","","","","",,alorac,"","","",,,"","","",,"",,"","",,""
19361-59-2,"","","","","",,"","","","",11538357,,"","","",,"",12595048,"2,3,4-Trichlorobenzaldehyde",Q82917819,,""
193681-19-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1937-37-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1937-89-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
193740-76-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19379-90-9,"","","","","",,"",benzoxonium chloride,CHEBI:135537,"",27483,,"","","",,"",29563,"","",,""
19381-50-1,"","","","","",,"",naphthol green B,CHEBI:87073,"",5291687,,"","","",,"",6915910,Naphthol Green B,Q10859529,,""
19387-91-8,"","","","","",,"","","","",5279,,"","","",,"",5479,"","",,""
1939-22-6,"","","","","",,"","","","",109750,,"","","",,"",123135,"","",,""
19395-87-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19396-06-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19398-13-1,"","","","","",,fenoprop-butotyl,"","","",,,"","","",,"",,"","",,""
194-59-2,"","","","","",,"","7H-Dibenzo[c,g]carbazole",CHEBI:82312,"",8780,,"","","",,"",9134,"7H-dibenzo[c,g]carbazole",Q70941087,,""
1940-43-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19402-71-2,"","","","","",,"","","","",79427,,"","","",,"",23672323,"1-Naphthalenol, potassium salt",Q81993065,,""
19404-87-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
19406-51-0,"","","","","",,"","4-amino-2,6-dinitrotoluene",CHEBI:77424,"",27494,,"","","",,"",29574,"4-amino-2,6-dinitrotoluene",Q27105069,,""
19408-46-9,"","","","","",,kasugamycin hydrochloride,"","","",,,"","","",,"",,"","",,""
